MODEL,MSE,RMSE,MAE
SMA_3,37.335084831961176,6.110244253052506,4.722752185733577
SMA_5,34.890025681197216,5.906777944124632,4.594269330471343
SMA_10,34.23651583062266,5.8511978116128205,4.4990044259298925
WMA_3,38.93644809038245,6.239907698867223,4.841842834881686
WMA_5,35.29671980268943,5.941104257853874,4.6098320179583325
WMA_10,33.739146749547615,5.808540845130351,4.465874403729575
