MODEL,MSE,RMSE,MAE
SMA_3,222.9430885542059,14.931278865328512,10.653464606928749
SMA_5,202.4258373378057,14.22764342179708,10.132722631557904
SMA_10,187.56517805276596,13.695443696819973,9.780466874008994
WMA_3,228.59954337476867,15.11950870150114,10.750806089117457
WMA_5,205.03955047092194,14.319202159021359,10.19944279100922
WMA_10,188.18547417125248,13.718071080558392,9.76992958220357
